property_type,price,location,latitude,longitude,baths,bedrooms,date_added,area_sqft
House,17500000,Bahria Town Karachi,25.00574,67.316385,4,4,2019-06-28,3811.5
House,77500000,DHA Defence,24.805045,67.064323,5,5,2019-03-19,5445.0
House,125000000,DHA Defence,24.810265,67.043552,5,5,2019-03-19,5445.0
House,170000000,DHA Defence,24.834337,67.055397,7,6,2019-03-19,10890.0
House,135000000,DHA Defence,24.79025011,67.08085723,7,6,2019-03-18,5445.0
Flat,14500000,Gulistan-e-Jauhar,24.924636,67.141903,6,4,2019-06-16,3267.0
Flat,40000000,Cantt,24.84831392,67.04286965,3,3,2019-07-18,2668.05
House,102500000,DHA Defence,24.810265,67.043552,6,6,2019-05-06,5445.0
House,6642000,Northern Bypass,25.07588167,67.10603714,3,3,2019-05-06,1361.25
House,9205000,Northern Bypass,25.07576,67.105412,4,3,2019-05-06,2994.75
House,12500000,Northern Bypass,25.07576,67.105412,5,4,2019-05-06,2994.75
House,16500000,Gulistan-e-Jauhar,24.923999,67.13414,6,6,2019-07-18,1824.075
Flat,6600000,Nazimabad,24.90171572,67.02713728,2,2,2019-07-18,1279.575
House,150000000,Zamzama,24.823782,67.039905,6,5,2019-06-07,3811.5
House,3500000,Northern Bypass,25.07576,67.105415,3,3,2019-02-17,1361.25
House,14000000,Federal B Area,24.929992,67.054489,3,6,2019-07-10,1306.8
House,11500000,Bahria Town Karachi,25.071948,67.338656,3,3,2019-06-28,2178.0
Flat,17000000,Jamshed Town,24.861596,67.05471,3,3,2019-06-30,1932.975
Flat,7500000,Gulshan-e-Iqbal Town,24.91746,67.087412,3,3,2019-06-07,1361.25
Flat,4500000,Gulistan-e-Jauhar,24.916185,67.135196,2,2,2018-10-20,1034.55
Flat,2500000,Gulistan-e-Jauhar,24.916185,67.135196,1,1,2019-07-18,544.5
Penthouse,10500000,Gulshan-e-Iqbal Town,24.898465,67.0625,2,3,2019-01-18,2123.5499999999997
Flat,4666000,Fazaia Housing Scheme,25.03745868,67.13618517,2,2,2019-05-06,1579.05
Flat,7960000,Fazaia Housing Scheme,25.05711,67.480417,4,3,2019-05-06,2668.05
Flat,10100000,Fazaia Housing Scheme,25.05711,67.480417,5,4,2019-05-06,3403.125
Flat,3763000,Fazaia Housing Scheme,25.07588167,67.10603714,2,2,2019-05-06,1415.7
Flat,4090000,Fazaia Housing Scheme,25.07588167,67.10603714,2,2,2019-05-06,1551.825
Flat,4797000,Fazaia Housing Scheme,25.07588167,67.10603714,4,3,2019-05-06,1824.075
Flat,5136000,Fazaia Housing Scheme,25.05711,67.480417,4,3,2019-05-06,1932.975
House,77500000,Jamshed Town,24.859299,67.055311,8,7,2019-06-30,6534.0
Lower Portion,5900000,Federal B Area,24.929408,67.08071,3,3,2019-07-18,1306.8
House,4500000,North Nazimabad,24.944397,67.041783,6,6,2019-07-18,1197.9
House,27500000,Bahria Town Karachi,24.99797058,67.30999756,5,5,2019-05-09,2967.525
Flat,12000000,Gulistan-e-Jauhar,24.924636,67.141903,3,3,2019-06-16,2776.95
House,92500000,DHA Defence,24.810265,67.043552,5,4,2019-06-20,5989.500000000001
House,13700000,Bahria Town Karachi,25.006938,67.308037,3,3,2019-06-27,1660.725
Flat,32000000,Cantt,24.937425,67.182856,3,3,2019-02-17,3103.65
Flat,5100000,Bahria Town Karachi,25.020961,67.321172,2,2,2019-06-27,1143.45
Flat,25500000,Jamshed Town,24.861596,67.05471,4,3,2019-06-30,1824.075
Flat,5200000,Gulistan-e-Jauhar,24.93591,67.152597,2,2,2019-07-18,1143.45
House,8500000,Gulshan-e-Usman Housing Society,24.979744,67.185033,3,3,2019-07-18,1361.25
Flat,10500000,Liaquatabad,24.903253,67.052279,10,11,2019-07-18,980.1
Flat,17500000,Gulshan-e-Iqbal Town,24.8814518,67.06337807,3,3,2019-07-04,2178.0
Flat,20000000,Jamshed Town,24.873867,67.03281,3,5,2019-07-18,2531.925
Flat,7000000,Garden West,24.873806,67.01623,4,3,2019-07-18,1633.5
Upper Portion,1800000,Liaquatabad,24.90325356,67.05227661,1,1,2019-06-14,490.05
House,13000000,Gulshan-e-Iqbal Town,24.95618,67.115135,4,4,2019-05-06,1306.8
House,98000000,Navy Housing Scheme Karsaz,24.8933,67.10346,6,5,2019-06-21,3811.5
Flat,6500000,Gulistan-e-Jauhar,24.912026,67.130733,3,3,2019-07-18,1633.5
